"date","route_id","avg_total_2km_30","avg_total_2km_15","avg_fix","avg_price_per_minute","avg_start"
"2025-03-19","9","1264","949.4230769230769","819.6153846153846","17.013076923076923","49.96115384615385"
"2025-03-19","10","1299.5172413793102","974.4827586206897","808.9655172413793","17.178965517241377","46.58620689655172"
"2025-03-19","11","1291.9310344827586","968.9655172413793","806.551724137931","17.04965517241379","46.310344827586206"
"2025-03-19","12","1333.962962962963","1002.8148148148148","719.2592592592592","17.444814814814816","60.629629629629626"
"2025-03-19","13","1336.9642857142858","1004.6785714285714","772.8571428571429","17.548214285714284","60.285714285714285"
"2025-03-19","14","1498.2","1127.5666666666666","731.3333333333334","18.985666666666663","56.065333333333335"
"2025-03-19","15","1498.2","1127.5666666666666","643","19.027666666666672","56.065333333333335"
"2025-03-19","16","1276.2222222222222","959.2222222222222","765.1851851851852","17.16703703703704","50.074074074074076"
"2025-03-19","17","1307.3214285714287","976.2142857142857","581.7857142857143","17.156428571428574","49.99928571428571"
"2025-03-19","18","1439.2","1086.4","853.3333333333334","18.890000000000004","55.2"
"2025-03-19","19","1434.0333333333333","1082.6","739","18.633666666666674","54.3"
"2025-03-19","20","1457.6296296296296","1096.2962962962963","611.8518518518518","17.663703703703703","51.8137037037037"
"2025-03-19","21","1227.8666666666666","913.3333333333334","395.3333333333333","14.816","42.2"
"2025-03-19","22","1453.7241379310344","1097.344827586207","828.2758620689655","19.25137931034483","60.10344827586207"
"2025-03-20","1","1124.5","837.25","873","14.209750000000003","40.3"
"2025-03-20","2","1253.3529411764705","939.7941176470588","832.9411764705883","15.093529411764708","45.587941176470586"
"2025-03-20","3","1206.8333333333333","901.2777777777778","844.4444444444445","15.089722222222226","40.22222222222222"
"2025-03-20","4","1218.8461538461538","913.8461538461538","851.2820512820513","15.24974358974359","41.15384615384615"
"2025-03-20","5","1256.15","938.975","880.25","14.741499999999997","41.6"
"2025-03-20","6","1270.55","952.7","1029.25","15.126500000000002","47.84925"
"2025-03-20","7","1263.7142857142858","943.1714285714286","1094.857142857143","15.839142857142852","44.142857142857146"
"2025-03-20","8","1218.7272727272727","909.969696969697","786.060606060606","13.975757575757573","37.78787878787879"
"2025-03-20","9","1242.56","928.32","645.6","15.442800000000002","45.7996"
"2025-03-20","10","1216.6","908.4","598","14.285333333333334","39"
"2025-03-20","11","1217.8666666666666","909.4666666666667","596.6666666666666","14.175333333333333","39"
"2025-03-20","12","1208.3","902.2333333333333","734.3333333333334","14.124999999999998","38.333333333333336"
"2025-03-20","13","1221.2758620689656","912.0344827586207","637.5862068965517","14.212758620689653","38.310344827586206"
"2025-03-20","14","1260.2333333333333","944.4333333333333","579","14.696333333333333","43.666666666666664"
"2025-03-20","15","1260.2333333333333","944.4333333333333","565.3333333333334","14.696333333333332","43.666666666666664"
"2025-03-20","16","1239.04","926.04","647.6","16.260800000000003","47.2396"
"2025-03-20","17","1187.076923076923","883.6538461538462","552.6923076923077","14.809230769230766","42.84615384615385"
"2025-03-20","18","1338.4137931034484","1006.1034482758621","615.5172413793103","16.396896551724137","51.654137931034484"
"2025-03-20","19","1454.7142857142858","1099.952380952381","567.1428571428571","17.11333333333333","56.47428571428571"
"2025-03-20","20","1194.5357142857142","896.1428571428571","516.7857142857143","14.674642857142857","41.857142857142854"
"2025-03-20","21","1086.2666666666667","807.4666666666667","367","13.456333333333335","40.6"
"2025-03-20","22","1383.4666666666667","1042.1","649.6666666666666","16.52766666666667","51.632"
"2025-03-21","1","1183.4848484848485","879.060606060606","900","14.234848484848483","43.54545454545455"
"2025-03-21","2","1237.388888888889","923.6944444444445","896.6666666666666","17.203055555555554","48.83277777777778"
"2025-03-21","3","1373.2631578947369","1035.1315789473683","1023.6842105263158","18.196842105263155","52.235789473684214"
"2025-03-21","4","1250.5333333333333","933.6666666666666","916","15.845","46.333"
"2025-03-21","5","1546.8684210526317","1171.1842105263158","1222.3684210526317","18.414736842105263","55.788157894736834"
"2025-03-21","6","1160.9705882352941","866.6764705882352","858.2352941176471","16.477647058823532","45.23529411764706"
"2025-03-21","7","1276.054054054054","959.1891891891892","1327.837837837838","17.45891891891892","48.81027027027027"
"2025-03-21","8","1337.6","1011.025","915.5","17.142250000000004","48.17425"
"2025-03-21","9","1278.9444444444443","961.4722222222222","773.6111111111111","17.391111111111115","48.638333333333335"
"2025-03-21","10","1546.8684210526317","1171.1842105263158","810.5263157894736","18.438421052631583","54.525"
"2025-03-21","11","1546.8684210526317","1171.1842105263158","1048.6842105263158","18.401052631578953","54.525"
"2025-03-21","12","1341.076923076923","1013.8205128205128","760.5128205128206","17.355384615384615","49.230000000000004"
"2025-03-21","13","1336.85","1010.325","752.5","17.285000000000004","48.97425"
"2025-03-21","14","1154.6571428571428","860.2571428571429","717.7142857142857","16.74971428571429","47.457142857142856"
"2025-03-21","15","1154.6571428571428","860.2571428571429","575.1428571428571","16.74971428571429","47.457142857142856"
"2025-03-21","16","1161.9166666666667","867.7777777777778","764.7222222222222","16.735277777777778","44.861111111111114"
"2025-03-21","17","1339.078947368421","1008.078947368421","639.7368421052631","18.131842105263157","51.552368421052634"
"2025-03-21","18","1225.9473684210527","916.4736842105264","841.578947368421","17.95605263157894","53.28921052631579"
"2025-03-21","19","1283.2777777777778","963.5277777777778","772.2222222222222","17.918333333333337","56.08277777777778"
"2025-03-21","20","1264.2333333333333","943.9666666666667","614.3333333333334","16.401666666666664","47.533"
"2025-03-21","21","1193.3030303030303","887.1818181818181","412.1212121212121","14.179090909090908","44.27272727272727"
"2025-03-21","22","1367.25","1029.5277777777778","886.9444444444445","18.549722222222226","53.16638888888889"
"2025-03-22","1","1131.75","844","738.3333333333334","14.476833333333333","43.29966666666667"
"2025-03-22","2","1466.2153846153847","1110.553846153846","908.6153846153846","18.461076923076917","57.55276923076922"
"2025-03-22","3","1152.9705882352941","860.9705882352941","831.9117647058823","16.50455882352942","49.499558823529405"
"2025-03-22","4","1303.723404255319","979.1914893617021","810","16.778297872340428","51.93489361702127"
"2025-03-22","5","1346.8153846153846","1013.6153846153846","967.0769230769231","17.047538461538466","50.01523076923077"
"2025-03-22","6","1129.4925373134329","842.0746268656717","804.776119402985","15.677014925373136","44.07462686567164"
"2025-03-22","7","1119.655737704918","834.2131147540983","925.9016393442623","16.68081967213115","47.032786885245905"
"2025-03-22","8","1403.2857142857142","1061.142857142857","854.4285714285714","16.60157142857143","48.54271428571428"
"2025-03-22","9","1121.7903225806451","836.0806451612904","635.483870967742","16.768064516129037","47.274193548387096"
"2025-03-22","10","1345.015625","1011.640625","654.0625","17.040468750000002","49.5625"
"2025-03-22","11","1337.2923076923078","1004.9076923076923","754.4615384615385","16.949538461538463","48.90769230769231"
"2025-03-22","12","1397.4","1055.857142857143","676.8571428571429","16.45557142857143","48.54271428571428"
"2025-03-22","13","1424.9714285714285","1077.6","734.4285714285714","16.574142857142856","48.59985714285714"
"2025-03-22","14","1128.8484848484848","841.6363636363636","611.3636363636364","15.629090909090912","43.96969696969697"
"2025-03-22","15","1129.076923076923","842.0307692307692","522.1538461538462","15.638461538461538","43.98461538461538"
"2025-03-22","16","1108.274193548387","824.5645161290323","662.5806451612904","16.559193548387096","46.354838709677416"
"2025-03-22","17","1153.8059701492537","863.7313432835821","565.6716417910447","16.322238805970155","48.9544776119403"
"2025-03-22","18","1228.1940298507463","923.2835820895523","597.9104477611941","16.86716417910448","47.447462686567164"
"2025-03-22","19","1233.1029411764705","927.0147058823529","590.5882352941177","16.93617647058825","47.382058823529405"
"2025-03-22","20","1352.4318181818182","1017.1590909090909","581.3636363636364","16.67909090909091","52.271363636363624"
"2025-03-22","21","1129.25","842.5333333333333","348.3333333333333","14.334833333333334","42.133"
"2025-03-22","22","1230.2941176470588","924.8970588235294","620.7352941176471","17.030735294117648","47.17632352941176"
"2025-03-23","1","1121.0533333333333","836.96","643.2","14.622666666666671","41.96"
"2025-03-23","2","1155.5657894736842","869.5","726.3157894736842","16.808684210526323","44"
"2025-03-23","3","1136.1267605633802","853.1549295774648","781.830985915493","16.135915492957743","43.45070422535211"
"2025-03-23","4","1127.4358974358975","845.0769230769231","663.2051282051282","15.309487179487181","44.384487179487174"
"2025-03-23","5","1135.7761194029852","845.4776119402985","800.5970149253732","15.600149253731344","46.343134328358204"
"2025-03-23","6","1121.0666666666666","837.3466666666667","768.6666666666666","15.971466666666672","45.39986666666666"
"2025-03-23","7","1222.6052631578948","916.4342105263158","771.1842105263158","16.53723684210527","46.89421052631579"
"2025-03-23","8","1219.1645569620252","912.253164556962","774.1772151898734","15.90810126582278","47.37911392405062"
"2025-03-23","9","1222.6052631578948","916.4342105263158","562.1052631578947","16.556447368421054","47.367894736842096"
"2025-03-23","10","1135.7910447761194","845.5671641791045","578.3582089552239","15.739999999999995","45.44731343283582"
"2025-03-23","11","1131.1617647058824","841.9411764705883","603.0882352941177","15.677499999999998","45.17602941176471"
"2025-03-23","12","1218.575","911.775","606.5","15.802000000000003","47.374249999999996"
"2025-03-23","13","1219.875","912.7625","640.5","15.748500000000002","47.22425"
"2025-03-23","14","1121.4666666666667","837.8266666666667","539.8666666666667","15.675866666666671","44.54653333333333"
"2025-03-23","15","1121.4666666666667","837.8266666666667","482.1333333333333","15.673866666666669","44.11986666666667"
"2025-03-23","16","1227.828947368421","921.0394736842105","538.0263157894736","16.818684210526317","47.420526315789466"
"2025-03-23","17","1142.2739726027398","858.3561643835617","484.93150684931504","16.048904109589046","43.38356164383562"
"2025-03-23","18","1238.8181818181818","929.3896103896104","550.9090909090909","17.10298701298701","47.246233766233765"
"2025-03-23","19","1213.0666666666666","908.6533333333333","597.6","16.968000000000004","46.8796"
"2025-03-23","20","1126.240506329114","844.1012658227849","465.0632911392405","15.267468354430381","43.480886075949364"
"2025-03-23","21","1121.9466666666667","837.76","323.3333333333333","14.461466666666672","40.6"
"2025-03-23","22","1236.9473684210527","927.6184210526316","547.8947368421053","17.005526315789474","47.78894736842105"
"2025-03-24","1","1317.0923076923077","1034.9846153846154","1206.6153846153845","19.976461538461542","46.815384615384616"
"2025-03-24","2","1318.676923076923","1036.7076923076922","1036.3076923076924","22.115692307692314","45.53815384615385"
"2025-03-24","3","1359.7","1072.3","1134.3333333333333","21.753166666666672","45.032999999999994"
"2025-03-24","4","1335.6060606060605","1050.1515151515152","1081.5151515151515","20.726363636363637","43.878484848484845"
"2025-03-24","5","1618.1076923076923","1277.3692307692309","1458.3076923076924","24.259384615384615","52.99907692307693"
"2025-03-24","6","1370.968253968254","1079.2380952380952","1210.6349206349207","21.525714285714283","52.61904761904762"
"2025-03-24","7","1332.2727272727273","1045.621212121212","1068.030303030303","20.808181818181822","42.81818181818182"
"2025-03-24","8","1299.4328358208954","1019.8358208955224","1231.3432835820895","20.82119402985074","44.10432835820895"
"2025-03-24","9","1336.7121212121212","1049.4242424242425","834.6969696969697","21.167727272727276","42.93939393939394"
"2025-03-24","10","1626.015625","1284.015625","1085.78125","24.446874999999995","53.65531249999998"
"2025-03-24","11","1618.1076923076923","1277.6923076923076","1059.6923076923076","24.328","53.18369230769229"
"2025-03-24","12","1299.3333333333333","1019.6376811594203","1003.6231884057971","20.838260869565215","42.94202898550725"
"2025-03-24","13","1302.089552238806","1021.8955223880597","969.4029850746268","20.644328358208952","42.64179104477612"
"2025-03-24","14","1381.765625","1088.140625","796.5625","21.375625","53.5"
"2025-03-24","15","1381.765625","1088.140625","776.25","21.445781250000007","53.75"
"2025-03-24","16","1327.1060606060605","1041.8030303030303","818.030303030303","21.275","42.81818181818182"
"2025-03-24","17","1378.2666666666667","1086.35","705.5","22.004","44.633"
"2025-03-24","18","1461.735294117647","1152.25","990.2941176470588","23.813382352941183","48.632205882352935"
"2025-03-24","19","1454.5428571428572","1146.5285714285715","949.8571428571429","23.689","48.47128571428571"
"2025-03-24","20","1359.3030303030303","1069.0151515151515","672.8787878787879","21.064242424242426","52.45439393939394"
"2025-03-24","21","1341.8358208955224","1054.2537313432836","524.179104477612","20.19373134328358","46.88059701492537"
"2025-03-24","22","1451.1159420289855","1143.304347826087","1010.4347826086956","23.77188405797102","48.20289855072464"
"2025-03-25","1","1273.2028985507247","1001.0434782608696","1340","20.38840579710144","44.79681159420289"
"2025-03-25","2","1328.8153846153846","1044.7076923076922","1214.1538461538462","21.906307692307696","44.707692307692305"
"2025-03-25","3","1381.4411764705883","1090.5735294117646","1339.264705882353","22.51823529411765","48.14661764705882"
"2025-03-25","4","1307","1027.3235294117646","1257.7941176470588","21.14088235294118","43.411764705882355"
"2025-03-25","5","1644.9264705882354","1299.1617647058824","1466.0294117647059","22.96044117647059","49.11764705882353"
"2025-03-25","6","1319.1571428571428","1039.0142857142857","1452.857142857143","21.728999999999992","52.771"
"2025-03-25","7","1300","1022.4923076923077","1367.6923076923076","21.901230769230775","43.06153846153846"
"2025-03-25","8","1294.8181818181818","1018.3636363636364","1379.6969696969697","20.863484848484845","43.93924242424242"
"2025-03-25","9","1300","1022.4923076923077","954.4615384615385","21.903692307692314","42.50769230769231"
"2025-03-25","10","1640.9420289855072","1296.2463768115942","1131.304347826087","22.72811594202898","49.115797101449274"
"2025-03-25","11","1636.357142857143","1292.5857142857142","1084","22.730857142857143","49.314142857142855"
"2025-03-25","12","1292.7761194029852","1016.6865671641791","1134.9253731343283","21.325671641791036","44.52223880597015"
"2025-03-25","13","1293.5820895522388","1017.0597014925373","1058.358208955224","21.43492537313432","43.92522388059701"
"2025-03-25","14","1313.9571428571428","1034.8428571428572","937.5714285714286","21.399714285714282","52.142285714285705"
"2025-03-25","15","1316.8115942028985","1037.072463768116","960.4347826086956","21.423913043478258","52.56463768115941"
"2025-03-25","16","1300.640625","1022.796875","964.0625","21.797812500000006","43.0625"
"2025-03-25","17","1383.7941176470588","1092.3970588235295","906.6176470588235","22.04823529411765","47.205735294117645"
"2025-03-25","18","1405.7121212121212","1106.9242424242425","1018.030303030303","23.548939393939403","49.45393939393939"
"2025-03-25","19","1404.3484848484848","1105.7424242424242","959.2424242424242","23.446212121212113","49.04484848484849"
"2025-03-25","20","1302.6666666666667","1023.5797101449275","842.7536231884058","21.238550724637683","42.47826086956522"
"2025-03-25","21","1269.0289855072465","997.8840579710145","629.8550724637681","19.980869565217382","45.26057971014493"
"2025-03-25","22","1410.9076923076923","1110.876923076923","1035.2307692307693","23.48230769230769","48.82999999999999"
"2025-03-26","1","1306.7837837837837","1029.4054054054054","1142.162162162162","20.936486486486487","45.486351351351345"
"2025-03-26","2","1421.474358974359","1120.525641025641","1183.4615384615386","22.326025641025645","48.58897435897435"
"2025-03-26","3","1315.1","1033.8","1146.75","22.002375","44.15"
"2025-03-26","4","1411.4558823529412","1111.014705882353","1119.264705882353","20.964999999999993","41.88235294117647"
"2025-03-26","5","1311.672131147541","1032.1967213114754","1367.8688524590164","21.94622950819672","51.70459016393443"
"2025-03-26","6","1350.3333333333333","1061.3484848484848","1309.6969696969697","22.258030303030296","48.54484848484849"
"2025-03-26","7","1297.7169811320755","1019.9433962264151","1315.8490566037735","22.115849056603775","47.150754716981126"
"2025-03-26","8","1320.904761904762","1039.3650793650793","1282.5396825396826","21.496507936507935","45.34920634920635"
"2025-03-26","9","1297.7169811320755","1019.9433962264151","882.2641509433962","22.12509433962263","47.30169811320754"
"2025-03-26","10","1322.241935483871","1040.3387096774193","1011.7741935483871","21.95403225806452","51.564354838709676"
"2025-03-26","11","1322.0819672131147","1040.2622950819673","1026.5573770491803","21.917540983606564","50.55721311475409"
"2025-03-26","12","1322.4761904761904","1040.5238095238096","1049.5238095238096","21.699682539682538","45.60301587301587"
"2025-03-26","13","1322.4761904761904","1040.5238095238096","1070.1587301587301","21.789047619047615","45.666507936507934"
"2025-03-26","14","1353.7692307692307","1064.0615384615385","881.3846153846154","22.28661538461538","49.24553846153846"
"2025-03-26","15","1353.6461538461538","1063.8615384615384","895.8461538461538","22.378000000000004","49.30707692307692"
"2025-03-26","16","1302.4905660377358","1023.7358490566038","978.1132075471698","22.445283018867933","46.01867924528302"
"2025-03-26","17","1303.5714285714287","1024.3142857142857","868.4285714285714","22.00685714285713","43.84285714285714"
"2025-03-26","18","1411.734375","1112.234375","1022.1875","23.30562499999999","49.28109375"
"2025-03-26","19","1413.3174603174602","1113.6031746031747","956.6666666666666","23.283650793650793","48.99984126984127"
"2025-03-26","20","1445.1764705882354","1138.3382352941176","813.3823529411765","22.201176470588237","45.293382352941165"
"2025-03-26","21","1323.453125","1042.890625","589.53125","21.565781250000008","45.71843749999999"
"2025-03-26","22","1409.968253968254","1110.6349206349207","1007.1428571428571","23.412539682539677","49.42841269841269"
"2025-03-27","1","1338.64","1053.76","1341.4","21.1474","44.239799999999995"
"2025-03-27","2","1353.66","1062.76","1204.2","21.349999999999994","41.16"
